Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT,SecondaryTourney
2013,135,3120,80,3412,57,H,0,WNIT
2013,135,3140,69,3226,54,H,0,WNIT
2013,135,3158,72,3297,70,A,0,WBI
2013,135,3183,60,3281,58,A,0,WNIT
2013,135,3189,68,3184,61,H,0,WBI
2013,135,3249,70,3342,48,H,0,WBI
2013,135,3361,69,3364,46,H,0,WNIT
2013,135,3428,56,3253,49,A,0,WNIT
2013,136,3116,67,3272,57,H,0,WNIT
2013,136,3131,61,3357,49,H,0,WNIT
2013,136,3132,76,3374,70,H,0,WNIT
2013,136,3150,79,3111,61,H,0,WNIT
2013,136,3172,82,3330,73,A,0,WNIT
2013,136,3178,71,3125,68,H,0,WBI
2013,136,3180,59,3233,50,H,0,WNIT
2013,136,3182,71,3103,66,H,0,WNIT
2013,136,3193,71,3384,51,H,0,WBI
2013,136,3196,75,3198,68,A,0,WNIT
2013,136,3200,55,3119,46,H,0,WNIT
2013,136,3217,61,3216,57,A,0,WNIT
2013,136,3228,73,3275,60,H,0,WNIT
2013,136,3229,63,3237,47,H,0,WNIT
2013,136,3241,77,3299,64,H,0,WNIT
2013,136,3243,72,3411,44,H,0,WNIT
2013,136,3270,82,3273,70,A,0,WBI
2013,136,3294,71,3461,63,A,0,WNIT
2013,136,3301,60,3350,55,H,0,WNIT
2013,136,3335,65,3224,60,H,0,WBI
2013,136,3360,61,3218,49,H,0,WNIT
2013,136,3377,77,3429,69,A,0,WBI
2013,136,3388,68,3370,51,H,0,WNIT
2013,136,3405,63,3139,49,H,0,WNIT
2013,136,3408,65,3358,57,H,0,WNIT
2013,136,3443,88,3187,77,H,1,WNIT
2013,136,3457,65,3195,51,A,0,WNIT
2013,136,3464,63,3232,51,H,0,WNIT
2013,137,3123,54,3278,51,A,0,WNIT
2013,137,3320,61,3266,59,A,0,WNIT
2013,137,3334,69,3114,65,H,0,WNIT
2013,137,3449,65,3186,60,H,2,WNIT
2013,138,3132,61,3182,54,H,0,WNIT
2013,138,3140,69,3361,58,H,0,WNIT
2013,138,3180,82,3217,72,H,0,WNIT
2013,138,3200,58,3131,44,H,0,WNIT
2013,138,3270,66,3189,58,A,0,WBI
2013,138,3335,49,3193,48,H,0,WBI
2013,138,3405,61,3464,43,H,0,WNIT
2013,139,3120,84,3443,66,H,0,WNIT
2013,139,3123,53,3320,48,H,0,WNIT
2013,139,3150,72,3172,60,H,0,WNIT
2013,139,3178,79,3158,67,H,0,WBI
2013,139,3241,72,3301,66,H,0,WNIT
2013,139,3334,85,3449,78,A,0,WNIT
2013,139,3377,71,3249,48,A,0,WBI
2013,139,3388,68,3294,58,A,0,WNIT
2013,139,3408,60,3116,48,A,0,WNIT
2013,140,3196,85,3457,53,A,0,WNIT
2013,140,3228,62,3183,54,H,0,WNIT
2013,140,3243,57,3229,48,H,0,WNIT
2013,140,3428,61,3360,50,H,0,WNIT
2013,142,3120,72,3408,52,H,0,WNIT
2013,142,3178,71,3335,68,H,0,WBI
2013,142,3196,67,3150,65,A,0,WNIT
2013,142,3241,77,3200,61,H,0,WNIT
2013,142,3388,59,3140,55,A,0,WNIT
2013,143,3180,50,3132,47,A,0,WNIT
2013,143,3228,63,3405,55,A,0,WNIT
2013,143,3243,60,3123,48,H,0,WNIT
2013,143,3270,71,3377,63,A,0,WBI
2013,143,3428,60,3334,55,A,1,WNIT
2013,145,3178,73,3270,62,H,0,WBI
2013,145,3180,56,3120,43,A,0,WNIT
2013,145,3196,85,3241,80,A,0,WNIT
2013,145,3243,66,3228,48,H,0,WNIT
2013,145,3428,58,3388,55,A,0,WNIT
2013,149,3180,67,3196,57,H,0,WNIT
2013,149,3428,54,3243,46,A,1,WNIT
2013,152,3180,46,3428,43,H,0,WNIT
2014,135,3160,78,3395,71,H,0,WNIT
2014,135,3193,90,3136,86,A,2,WBI
2014,135,3203,86,3187,68,H,0,WNIT
2014,135,3227,84,3236,71,H,0,WBI
2014,135,3263,77,3137,47,H,0,WBI
2014,135,3278,62,3453,60,H,0,WNIT
2014,135,3285,90,3450,78,H,0,WNIT
2014,135,3437,74,3346,66,H,0,WNIT
2014,136,3120,78,3202,64,H,0,WNIT
2014,136,3129,52,3213,51,A,0,WBI
2014,136,3132,72,3219,62,H,0,WNIT
2014,136,3158,85,3367,71,H,0,WBI
2014,136,3166,77,3281,51,H,0,WNIT
2014,136,3185,78,3191,65,H,0,WBI
2014,136,3217,90,3233,89,A,0,WNIT
2014,136,3231,48,3125,47,H,0,WNIT
2014,136,3237,72,3141,66,A,0,WNIT
2014,136,3266,63,3232,61,A,0,WNIT
2014,136,3280,77,3408,68,H,0,WNIT
2014,136,3297,84,3270,72,H,0,WBI
2014,136,3321,69,3123,65,H,0,WNIT
2014,136,3330,68,3298,60,H,0,WNIT
2014,136,3332,90,3334,63,H,0,WNIT
2014,136,3343,94,3433,76,H,0,WNIT
2014,136,3353,65,3174,61,H,0,WNIT
2014,136,3355,78,3139,61,H,0,WNIT
2014,136,3360,82,3142,59,H,0,WNIT
2014,136,3371,63,3110,60,H,0,WNIT
2014,136,3372,59,3402,51,H,0,WBI
2014,136,3374,84,3411,72,H,0,WNIT
2014,136,3379,75,3249,60,H,0,WNIT
2014,136,3381,71,3161,56,A,0,WNIT
2014,136,3391,70,3274,63,A,0,WNIT
2014,137,3182,62,3291,52,H,0,WNIT
2014,137,3276,86,3392,48,H,0,WNIT
2014,137,3378,56,3299,50,H,0,WNIT
2014,137,3382,81,3150,62,H,0,WNIT
2014,137,3388,75,3167,68,H,0,WNIT
2014,137,3431,74,3117,64,H,0,WNIT
2014,137,3449,67,3218,50,H,0,WNIT
2014,138,3158,60,3297,54,H,0,WBI
2014,138,3160,79,3381,68,H,0,WNIT
2014,138,3231,72,3266,69,H,0,WNIT
2014,138,3372,80,3129,59,H,0,WBI
2014,139,3193,63,3263,50,H,0,WBI
2014,139,3203,76,3437,66,A,0,WNIT
2014,139,3278,77,3374,70,H,0,WNIT
2014,139,3321,88,3237,52,H,0,WNIT
2014,139,3355,62,3166,51,H,0,WNIT
2014,139,3371,75,3343,74,H,0,WNIT
2014,139,3378,75,3391,56,H,0,WNIT
2014,140,3120,82,3330,59,H,0,WNIT
2014,140,3132,76,3382,65,H,0,WNIT
2014,140,3227,93,3185,91,A,0,WBI
2014,140,3276,68,3182,52,H,0,WNIT
2014,140,3280,74,3379,66,H,2,WNIT
2014,140,3353,63,3217,52,H,0,WNIT
2014,140,3360,60,3285,57,A,0,WNIT
2014,140,3431,76,3388,64,H,0,WNIT
2014,140,3449,93,3332,85,A,0,WNIT
2014,142,3449,62,3360,55,H,0,WNIT
2014,143,3132,63,3276,53,H,0,WNIT
2014,143,3227,74,3193,44,H,0,WBI
2014,143,3231,66,3321,65,H,0,WNIT
2014,143,3280,59,3120,54,H,0,WNIT
2014,143,3353,91,3371,79,H,2,WNIT
2014,143,3355,70,3278,62,H,0,WNIT
2014,143,3372,78,3158,74,A,0,WBI
2014,143,3378,74,3203,59,H,0,WNIT
2014,144,3431,68,3160,60,H,0,WNIT
2014,145,3227,73,3372,64,H,0,WBI
2014,146,3355,76,3231,64,H,0,WNIT
2014,146,3378,60,3280,58,A,0,WNIT
2014,147,3353,55,3132,50,A,0,WNIT
2014,147,3431,70,3449,63,H,0,WNIT
2014,149,3353,62,3378,52,A,0,WNIT
2014,149,3431,66,3355,63,H,0,WNIT
2014,152,3353,56,3431,54,A,0,WNIT
2015,135,3117,61,3444,49,H,0,WNIT
2015,135,3186,67,3450,65,A,0,WNIT
2015,135,3187,74,3347,52,H,0,WNIT
2015,135,3276,72,3156,50,H,0,WNIT
2015,135,3279,80,3404,70,H,0,WNIT
2015,135,3307,54,3315,51,H,0,WBI
2015,135,3331,57,3402,54,A,0,WBI
2015,136,3170,87,3334,79,A,0,WNIT
2015,136,3182,72,3464,54,A,0,WNIT
2015,136,3200,70,3148,67,H,0,WNIT
2015,136,3201,79,3362,73,H,0,WNIT
2015,136,3210,69,3189,47,H,0,WNIT
2015,136,3214,45,3180,42,A,0,WNIT
2015,136,3243,86,3103,68,H,0,WNIT
2015,136,3267,81,3297,79,A,0,WBI
2015,136,3270,87,3202,70,H,0,WBI
2015,136,3273,83,3407,68,H,0,WBI
2015,136,3281,69,3320,61,A,0,WNIT
2015,136,3292,69,3123,58,H,0,WNIT
2015,136,3294,53,3161,48,A,0,WNIT
2015,136,3301,73,3190,58,A,0,WNIT
2015,136,3330,69,3438,62,H,0,WNIT
2015,136,3335,65,3220,58,H,0,WNIT
2015,136,3360,63,3253,56,H,0,WNIT
