Season,ConfAbbrev,DayNum,WTeamID,LTeamID
2002,ovc,120,3122,3369
2002,ovc,120,3184,3293
2002,ovc,120,3287,3404
2002,ovc,120,3399,3183
2002,horizon,121,3139,3460
2002,big_south,121,3149,3219
2002,big_south,121,3157,3189
2002,big_south,121,3251,3421
2002,big_south,121,3457,3347
2002,southern,122,3111,3172
2002,sec,122,3116,3279
2002,sec,122,3120,3196
2002,southern,122,3158,3190
2002,horizon,122,3178,3156
2002,sec,122,3208,3104
2002,horizon,122,3227,3454
2002,maac,122,3233,3351
2002,sec,122,3246,3280
2002,maac,122,3259,3310
2002,horizon,122,3260,3464
2002,big_ten,122,3276,3228
2002,sun_belt,122,3292,3418
2002,sun_belt,122,3308,3114
2002,sun_belt,122,3309,3117
2002,big_ten,122,3326,3277
2002,wcc,122,3337,3211
2002,wcc,122,3362,3258
2002,wcc,122,3365,3360
2002,wcc,122,3388,3339
2002,horizon,122,3453,3139
2002,big_ten,122,3458,3321
2002,sec,123,3116,3376
2002,patriot,123,3119,3250
2002,patriot,123,3137,3298
2002,cusa,123,3150,3272
2002,southern,123,3151,3111
2002,big_south,123,3157,3457
2002,patriot,123,3159,3110
2002,horizon,123,3178,3227
2002,acc,123,3181,3199
2002,a_ten,123,3182,3382
2002,maac,123,3193,3145
2002,a_ten,123,3200,3173
2002,southern,123,3202,3441
2002,patriot,123,3221,3248
2002,big_ten,123,3231,3234
2002,cusa,123,3257,3379
2002,sec,123,3261,3246
2002,maac,123,3264,3265
2002,acc,123,3268,3448
2002,a_ten,123,3269,3247
2002,pac_ten,123,3332,3450
2002,big_ten,123,3336,3326
2002,wcc,123,3337,3362
2002,big_ten,123,3345,3276
2002,wcc,123,3365,3388
2002,maac,123,3373,3233
2002,cusa,123,3387,3266
2002,maac,123,3389,3259
2002,sec,123,3397,3208
2002,cusa,123,3408,3412
2002,pac_ten,123,3417,3143
2002,southern,123,3422,3158
2002,sec,123,3435,3120
2002,horizon,123,3453,3260
2002,big_ten,123,3458,3278
2002,southern,123,3459,3204
2002,a_ten,123,3462,3348
2002,pac_ten,124,3113,3112
2002,ovc,124,3122,3184
2002,southern,124,3151,3459
2002,cusa,124,3153,3257
2002,mac,124,3185,3267
2002,sun_belt,124,3198,3308
2002,cusa,124,3222,3150
2002,big_south,124,3251,3157
2002,nec,124,3254,3192
2002,sec,124,3261,3397
2002,a_ten,124,3269,3350
2002,big_east,124,3274,3207
2002,mac,124,3275,3103
2002,mac,124,3296,3138
2002,acc,124,3301,3155
2002,acc,124,3314,3268
2002,sun_belt,124,3317,3309
2002,mac,124,3325,3132
2002,pac_ten,124,3332,3449
2002,pac_ten,124,3333,3425
2002,big_east,124,3353,3439
2002,nec,124,3357,3346
2002,big_east,124,3371,3344
2002,maac,124,3373,3193
2002,nec,124,3384,3291
2002,a_ten,124,3386,3200
2002,maac,124,3389,3264
2002,pac_ten,124,3390,3417
2002,big_east,124,3393,3452
2002,cusa,124,3395,3387
2002,a_ten,124,3396,3182
2002,ovc,124,3399,3287
2002,cusa,124,3408,3177
2002,southern,124,3422,3202
2002,sec,124,3435,3116
