Season,SecondaryTourney,TeamID
2013,WNIT,3103
2013,WNIT,3111
2013,WNIT,3114
2013,WNIT,3116
2013,WNIT,3119
2013,WNIT,3120
2013,WNIT,3123
2013,WBI,3125
2013,WNIT,3131
2013,WNIT,3132
2013,WNIT,3139
2013,WNIT,3140
2013,WNIT,3150
2013,WBI,3158
2013,WNIT,3172
2013,WBI,3178
2013,WNIT,3180
2013,WNIT,3182
2013,WNIT,3183
2013,WBI,3184
2013,WNIT,3186
2013,WNIT,3187
2013,WBI,3189
2013,WBI,3193
2013,WNIT,3195
2013,WNIT,3196
2013,WNIT,3198
2013,WNIT,3200
2013,WNIT,3216
2013,WNIT,3217
2013,WNIT,3218
2013,WBI,3224
2013,WNIT,3226
2013,WNIT,3228
2013,WNIT,3229
2013,WNIT,3232
2013,WNIT,3233
2013,WNIT,3237
2013,WNIT,3241
2013,WNIT,3243
2013,WBI,3249
2013,WNIT,3253
2013,WNIT,3266
2013,WBI,3270
2013,WNIT,3272
2013,WBI,3273
2013,WNIT,3275
2013,WNIT,3278
2013,WNIT,3281
2013,WNIT,3294
2013,WBI,3297
2013,WNIT,3299
2013,WNIT,3301
2013,WNIT,3320
2013,WNIT,3330
2013,WNIT,3334
2013,WBI,3335
2013,WBI,3342
2013,WNIT,3350
2013,WNIT,3357
2013,WNIT,3358
2013,WNIT,3360
2013,WNIT,3361
2013,WNIT,3364
2013,WNIT,3370
2013,WNIT,3374
2013,WBI,3377
2013,WBI,3384
2013,WNIT,3388
2013,WNIT,3405
2013,WNIT,3408
2013,WNIT,3411
2013,WNIT,3412
2013,WNIT,3428
2013,WBI,3429
2013,WNIT,3443
2013,WNIT,3449
2013,WNIT,3457
2013,WNIT,3461
2013,WNIT,3464
2014,WNIT,3110
2014,WNIT,3117
2014,WNIT,3120
2014,WNIT,3123
2014,WNIT,3125
2014,WBI,3129
2014,WNIT,3132
2014,WBI,3136
2014,WBI,3137
2014,WNIT,3139
2014,WNIT,3141
2014,WNIT,3142
2014,WNIT,3150
2014,WBI,3158
2014,WNIT,3160
2014,WNIT,3161
2014,WNIT,3166
2014,WNIT,3167
2014,WNIT,3174
2014,WNIT,3182
2014,WBI,3185
2014,WNIT,3187
