Season,Slot,StrongSeed,WeakSeed,Round,TeamID_1,team1_prob,TeamID_2,team2_prob,sorted_ids,Winner,curr_win_prob,pre_win_prob,cumm_win_prob,TeamName_1,TeamName_2,WinnerName,potential_pts,expected_pts
2022,W12,W12a,W12b,0,1231,1.0,1461,1.0,"1231,1461",1231,0.536880373954773,1.0,0.536880373954773,Indiana,Wyoming,Indiana,0.0,0.0
2022,X11,X11a,X11b,0,1323,1.0,1353,1.0,"1323,1353",1353,0.5098324418067932,1.0,0.5098324418067932,Notre Dame,Rutgers,Rutgers,0.0,0.0
2022,Y16,Y16a,Y16b,0,1394,1.0,1411,1.0,"1394,1411",1394,0.622641921043396,1.0,0.622641921043396,TAM C. Christi,TX Southern,TAM C. Christi,0.0,0.0
2022,Z16,Z16a,Z16b,0,1136,1.0,1460,1.0,"1136,1460",1136,0.5159147381782532,1.0,0.5159147381782532,Bryant,Wright St,Bryant,0.0,0.0
2022,R1W1,W01,W16,1,1124,1.0,1313,1.0,"1124,1313",1124,0.9599000811576843,1.0,0.9599000811576843,Baylor,Norfolk St,Baylor,10.0,9.599000811576843
2022,R1W2,W02,W15,1,1246,1.0,1389,1.0,"1246,1389",1246,0.9456655383110046,1.0,0.9456655383110046,Kentucky,St Peter's,Kentucky,10.0,9.456655383110046
2022,R1W3,W03,W14,1,1345,1.0,1463,1.0,"1345,1463",1345,0.9304588437080383,1.0,0.9304588437080383,Purdue,Yale,Purdue,10.0,9.304588437080383
2022,R1W4,W04,W13,1,1417,1.0,1103,1.0,"1103,1417",1417,0.9013064503669739,1.0,0.9013064503669739,UCLA,Akron,UCLA,10.0,9.013064503669739
2022,R1W5,W05,W12,1,1388,1.0,1231,1.0,"1231,1388",1388,0.5975375175476074,1.0,0.5975375175476074,St Mary's CA,Indiana,St Mary's CA,10.0,5.975375175476074
2022,R1W6,W06,W11,1,1400,1.0,1439,1.0,"1400,1439",1400,0.8868687152862549,1.0,0.8868687152862549,Texas,Virginia Tech,Texas,10.0,8.868687152862549
2022,R1W7,W07,W10,1,1293,1.0,1362,1.0,"1293,1362",1362,0.5103282332420349,1.0,0.5103282332420349,Murray St,San Francisco,San Francisco,10.0,5.103282332420349
2022,R1W8,W08,W09,1,1314,1.0,1266,1.0,"1266,1314",1314,0.7666343450546265,1.0,0.7666343450546265,North Carolina,Marquette,North Carolina,10.0,7.666343450546265
