Season,Slot,StrongSeed,WeakSeed,Round,TeamID_1,team1_prob,TeamID_2,team2_prob,sorted_ids,Winner,curr_win_prob,pre_win_prob,cumm_win_prob,TeamName_1,TeamName_2,WinnerName,potential_pts,expected_pts
2022,W12,W12a,W12b,0,1231,1.0,1461,1.0,"1231,1461",1231,0.854438304901123,1.0,0.854438304901123,Indiana,Wyoming,Indiana,0.0,0.0
2022,X11,X11a,X11b,0,1323,1.0,1353,1.0,"1323,1353",1353,0.598064661026001,1.0,0.598064661026001,Notre Dame,Rutgers,Rutgers,0.0,0.0
2022,Y16,Y16a,Y16b,0,1394,1.0,1411,1.0,"1394,1411",1394,0.5932620167732239,1.0,0.5932620167732239,TAM C. Christi,TX Southern,TAM C. Christi,0.0,0.0
2022,Z16,Z16a,Z16b,0,1136,1.0,1460,1.0,"1136,1460",1136,0.6442290544509888,1.0,0.6442290544509888,Bryant,Wright St,Bryant,0.0,0.0
2022,R1W1,W01,W16,1,1124,1.0,1313,1.0,"1124,1313",1124,0.9525086879730225,1.0,0.9525086879730225,Baylor,Norfolk St,Baylor,10.0,9.525086879730225
2022,R1W2,W02,W15,1,1246,1.0,1389,1.0,"1246,1389",1246,0.9118318557739258,1.0,0.9118318557739258,Kentucky,St Peter's,Kentucky,10.0,9.118318557739258
2022,R1W3,W03,W14,1,1345,1.0,1463,1.0,"1345,1463",1345,0.8946230411529541,1.0,0.8946230411529541,Purdue,Yale,Purdue,10.0,8.946230411529541
2022,R1W4,W04,W13,1,1417,1.0,1103,1.0,"1103,1417",1417,0.7247039675712585,1.0,0.7247039675712585,UCLA,Akron,UCLA,10.0,7.2470396757125854
2022,R1W5,W05,W12,1,1388,1.0,1231,1.0,"1231,1388",1231,0.7008115649223328,1.0,0.7008115649223328,St Mary's CA,Indiana,Indiana,10.0,7.008115649223328
2022,R1W6,W06,W11,1,1400,1.0,1439,1.0,"1400,1439",1400,0.8509423732757568,1.0,0.8509423732757568,Texas,Virginia Tech,Texas,10.0,8.509423732757568
