t1_score_diff,diff_total_games,diff_win_pct,diff_avg_points_for,diff_avg_points_against,diff_avg_game_margin,diff_std_game_margin,diff_non_home_wins,diff_home_losses,diff_close_wins,diff_close_losses,diff_3FGA_pg,diff_3_pct,diff_FTA_pg,diff_FT_pct,diff_TOV_pg,diff_avg_pace,diff_off_eff,diff_def_eff,diff_pythag_win_pct,diff_luck,diff_wins_vs_tourney_teams,diff_away_wins_vs_tourney_teams,diff_losses_vs_tourney_teams,diff_losses_vs_non_tourney_teams,diff_games_vs_tourney_teams,diff_final_net,diff_net_improvement,diff_final_pom,diff_pom_improvement,diff_pi_i,diff_coach_WL_car,diff_tourneys_car,diff_sw16_car,diff_ff_car,diff_champ_car,diff_returning_min_pct,diff_returning_score_pct,diff_avg_height,diff_avg_yr
-15,-3,0.15840517241379315,0.13900862068965125,-5.101293103448278,5.240301724137931,0.9784574729645925,5.0,0.0,-1.0,-2.0,1.7478448275862064,0.0013760220163522296,-3.1842672413793096,-0.09070081518151052,-1.6476293103448274,0.03300413793103729,0.683569654918557,-7.785899870199444,0.24142369047575618,-0.083018518061963,-1.0,-1.0,0.0,-6.0,-1.0,38.0,17.0,28.0,-7.0,-0.00048646121432550015,0.030000000000000027,0,0,0,0,-11.300000000000004,-12.799999999999997,0,0.4999999999999999
-56,1,-0.3709677419354839,-2.3225806451612954,12.501008064516128,-14.82358870967742,1.7754223490636747,-8.0,1.0,1.0,2.0,9.57258064516129,0.0027642523838506405,0.39717741935483986,-0.02624674932831428,2.72883064516129,3.3810193548387133,-7.651842482803858,15.723812542914402,-0.500269040492439,0.129301298556955,-8.0,-5.0,2.0,10.0,-6.0,166.0,16.0,210.0,-25.0,-0.0047734106553147995,-0.1459999999999999,-19,-12,-3,-2,-28.299999999999997,-29.000000000000007,-1,-0.10000000000000009
-12,3,-0.135673624288425,-7.969639468690701,-4.850094876660343,-3.119544592030362,1.5496556989840773,-3.0,1.0,1.0,4.0,5.440227703984819,0.0040711175616836015,-7.731499051233396,0.02317482231923229,-1.0303605313092987,-1.8652316255534558,-7.927767616119482,-1.5071924478012164,-0.031100768092794273,-0.1045728561956307,1.0,0.0,4.0,1.0,5.0,12.0,13.0,11.0,2.0,-0.0010938480622134,-0.038999999999999924,-17,-11,-3,-2,-6.3999999999999915,-7.700000000000003,-1,-0.7
-7,3,-0.04743833017077803,3.7950664136622407,2.502846299810244,1.2922201138519913,4.708429849631992,-3.0,-2.0,1.0,-1.0,6.0578747628083445,0.010976998565925211,-3.4962049335863377,-0.00891351672273899,-0.3244781783681212,4.778156609740691,-0.606831331532419,0.4210948794423217,0.007803499861873009,-0.0552418300326511,0.0,-1.0,1.0,1.0,1.0,2.0,9.0,7.0,-3.0,-0.00016741933955299968,-0.03199999999999992,-17,-10,-3,-2,-38.099999999999994,-33.900000000000006,0,-0.30000000000000004
-26,1,-0.15221774193548387,-5.603830645161295,2.376008064516128,-7.97983870967742,-2.8722581782867085,-6.0,0.0,2.0,-1.0,2.82258064516129,0.018832189822755807,-0.6653225806451601,0.017821337722579655,0.16633064516129004,-1.558647311827933,-3.601442762203945,9.154531149519954,-0.18605274876125355,0.033835006825769696,-2.0,-4.0,2.0,3.0,0.0,28.0,21.0,49.0,9.0,-0.0028517931630109,-0.11099999999999999,-18,-11,-3,-2,-28.299999999999997,-30.000000000000007,-1,-0.30000000000000004
-24,-4,-0.09019607843137256,-8.129411764705878,1.315686274509801,-9.445098039215685,-5.84202378238653,-1.0,1.0,3.0,0.0,-2.5019607843137237,-0.018040374965965222,-1.3196078431372555,-0.037467578318896466,0.9431372549019592,-2.2256522875816813,-9.58186150560907,4.1196737151254155,-0.27116939090391945,0.1809733124725469,-11.0,-8.0,-6.0,8.0,-17.0,87.0,7.0,155.0,13.0,-0.0050760916803312,-0.15500000000000003,-24,-18,-10,-3,-34.2,-38.699999999999996,-2,-0.3999999999999999
23,-1,-0.035650623885918,-1.4839572192513373,1.382352941176464,-2.8663101604278083,-3.160202849626449,-3.0,1.0,2.0,1.0,-2.7655971479500856,0.01868608948369277,-0.08021390374331006,0.018143082017043954,1.040106951871655,-0.11698158051099483,-2.182028922793762,0.7217977311027965,-0.053126300709528285,0.017475676823610398,-5.0,-6.0,0.0,1.0,-5.0,12.0,-8.0,12.0,-1.0,-0.0016969585459794996,-0.122,-18,-14,-9,-3,15.0,17.700000000000003,-1,0.30000000000000004
-13,4,-0.18627450980392157,-12.38823529411765,-1.06666666666667,-11.321568627450981,-2.0221769293320566,-4.0,1.0,-1.0,1.0,3.050980392156866,-0.0693120336105717,-0.4980392156862763,0.006948246611195308,2.3019607843137244,-3.5380036601307197,-13.349851354077586,3.2152224783035166,-0.18341365107594831,-0.0028608587279732034,-4.0,-4.0,-2.0,9.0,-6.0,73.0,16.0,86.0,-12.0,-0.0031548069422106004,-0.18600000000000005,-9,-4,0,0,-28.4,-35.5,-2,-0.7
-2,1,-0.09139784946236562,-6.703225806451613,5.368817204301074,-12.07204301075269,-1.5702249484803588,-4.0,-2.0,0.0,-1.0,2.530107526881725,-0.028533153251088517,-1.039784946236555,-0.0042002962634807295,1.9537634408602145,-2.2262182078852817,-4.820480951846065,12.593060269229653,-0.23117378345115724,0.1397759339887916,-3.0,-3.0,-3.0,6.0,-6.0,17.0,18.0,94.0,27.0,-0.0036253102020964005,-0.06500000000000006,-9,-4,0,0,-25.6,-37.800000000000004,-1,-0.5
21,1,0.037634408602150504,10.587096774193554,11.304301075268818,-0.7172043010752702,-2.068626903911717,-2.0,-1.0,0.0,1.0,-0.30860215053763085,-0.02577221485621478,5.7021505376344095,0.05776717729310621,1.5666666666666664,6.679897921146946,3.944703944263054,7.879070321848502,-0.023832712337583994,0.06146712093973469,2.0,-1.0,-1.0,0.0,1.0,-23.0,-3.0,-3.0,-9.0,0.0012740201232170996,0.01100000000000001,10,9,7,2,9.200000000000003,14.299999999999997,-1,0.0
4,3,-0.045454545454545525,7.9090909090909065,7.284848484848482,0.6242424242424232,7.2668151463203525,-4.0,0.0,3.0,-3.0,-6.257575757575758,0.016810392482034253,0.07272727272727764,-0.0032696624822511344,-0.4757575757575747,5.0325527272727015,2.4759906263641227,3.1118381250945077,-0.009892749290741687,-0.03556179616380391,0.0,0.0,2.0,0.0,2.0,13.0,7.0,3.0,-4.0,-0.0002586780515544994,-0.259,3,2,0,0,47.599999999999994,43.8,2,1.3
13,1,-0.08143939393939392,-3.5767045454545467,0.11079545454545325,-3.6875,2.015461479173311,0.0,2.0,0.0,3.0,2.7689393939393945,-0.1027502307990113,-1.975378787878789,0.011905308069917964,0.4535984848484844,2.4512888888888824,-9.940619894749418,-2.878120882474761,-0.14070987867869644,0.0592704847393025,-2.0,-1.0,3.0,0.0,1.0,16.0,22.0,25.0,10.0,-0.0006980191596527999,-0.052999999999999936,3,6,1,1,8.900000000000006,8.699999999999996,1,-0.09999999999999987
-19,-1,-0.30570409982174673,-2.604278074866315,11.572192513368982,-14.176470588235293,4.072482422438107,-6.0,3.0,1.0,3.0,-0.811942959001783,0.011139693672496398,-6.1114081996434955,0.07151483935136682,0.043672014260248915,0.9741195484254206,-5.617943378578417,15.733804117365679,-0.330285424598704,0.0245813247769572,2.0,-1.0,8.0,2.0,10.0,48.0,6.0,53.0,10.0,-0.003977519394896101,-0.125,5,2,0,1,17.400000000000006,16.699999999999996,-1,0.0
11,0,-0.08823529411764697,7.058823529411768,9.588235294117645,-2.5294117647058822,5.3036022567877446,-2.0,-1.0,0.0,-1.0,1.529411764705877,0.03780435248429631,-0.529411764705884,-0.027703697677256667,-0.08823529411764675,4.501458823529418,3.647861554755906,8.008153803840116,-0.03413263352279172,-0.0541026605948554,5.0,1.0,2.0,1.0,7.0,3.0,4.0,9.0,-3.0,-0.0012747045640611005,-0.09099999999999997,-7,-5,-2,0,-1.2999999999999972,9.899999999999999,-1,0.09999999999999987
11,5,0.36004056795131834,0.3002028397565937,-13.290060851926974,13.59026369168357,-2.372312244110855,5.0,-1.0,-1.0,-2.0,-1.3458417849898616,-0.039917600499183636,3.3924949290060873,0.005779375766329031,-5.145030425963487,-3.459093982420555,6.74958808779148,-14.714615164271109,0.3084654328157638,0.0515751351355547,3.0,3.0,1.0,-11.0,4.0,-120.0,-27.0,-103.0,4.0,0.005124299560572301,0.22999999999999998,9,7,2,0,-7.899999999999999,-13.600000000000001,3,0.30000000000000004
-3,-1,0.14818548387096775,12.123991935483872,4.913306451612897,7.210685483870968,1.4105203657329763,4.0,0.0,-3.0,1.0,-4.73891129032258,0.047417551603741115,3.924395161290324,-0.07080073789817398,3.07358870967742,7.115012903225818,7.731050328415364,-3.774167802570034,0.2040481152283692,-0.05586263135740149,-1.0,1.0,-6.0,1.0,-7.0,-16.0,-27.0,-27.0,-24.0,0.0011989965496784,-0.02400000000000002,0,-2,0,0,-6.900000000000006,-10.599999999999994,1,0.30000000000000004
-43,-2,-0.25027808676307006,-14.593993325917694,-0.3192436040044555,-14.274749721913237,1.022487799049264,-4.0,4.0,2.0,-1.0,-4.568409343715238,-0.025184466537903627,-0.8665183537263594,-0.08803985574192319,3.517241379310345,-4.026506963292533,-15.98683238982575,2.9960177432963917,-0.34062916580878844,0.0903510790457182,-6.0,-3.0,-2.0,9.0,-8.0,129.0,19.0,168.0,-8.0,-0.0058192091157581,-0.31900000000000006,-19,-13,-7,-2,3.799999999999997,0.5999999999999943,0,-0.10000000000000009
-14,2,-0.08308895405669603,-12.841642228739005,-5.8709677419354875,-6.970674486803521,-1.5179081380605535,-4.0,1.0,4.0,-1.0,-0.2883675464320632,-0.00516925973817034,-1.6627565982404633,-0.024596120520990583,0.3636363636363633,-6.006036102965126,-8.162438225079441,-1.2034110501017068,-0.0804397342108959,-0.002649219845800202,0.0,-1.0,2.0,1.0,2.0,10.0,-5.0,17.0,-2.0,-0.0024064313209924996,-0.18100000000000005,-13,-9,-6,-2,9.299999999999997,2.0,0,0.0
28,-1,0.17708333333333337,12.248106060606062,6.236742424242422,6.011363636363637,-1.551574185257861,-3.0,-1.0,0.0,-2.0,4.282196969696969,0.0168793715419146,6.489583333333332,0.032659380390381076,0.6278409090909083,2.8750848484848532,12.74740178721538,5.234515443017244,0.13467434658168342,0.042408986751649995,9.0,3.0,2.0,-8.0,11.0,-125.0,-36.0,-122.0,-27.0,0.003078878106912,0.05300000000000005,-1,0,0,0,21.599999999999994,20.099999999999994,2,0.10000000000000009
