TeamID,Season,school,is_ap_pre_top_5,is_ap_pre_top_15,is_ap_pre_top_25,coach_WL_car,tourneys_car,sw16_car,ff_car,champ_car
1102,2003,air-force,False,False,False,0.341,0,0,0,0
1103,2003,akron,False,False,False,0.462,0,0,0,0
1104,2003,alabama,False,True,False,0.66,4,0,0,0
1105,2003,alabama-am,False,False,False,0.518,0,0,0,0
1412,2003,alabama-birmingham,False,False,False,0.618,0,0,0,0
1106,2003,alabama-state,False,False,False,0.48,1,0,0,0
1107,2003,albany-ny,False,False,False,0.292,0,0,0,0
1108,2003,alcorn-state,False,False,False,0.591,6,0,0,0
1110,2003,american,False,False,False,0.555,5,2,0,0
1111,2003,appalachian-state,False,False,False,0.455,0,0,0,0
1112,2003,arizona,True,False,False,0.738,24,12,5,1
1113,2003,arizona-state,False,False,False,0.52,3,0,0,0
1116,2003,arkansas,False,False,False,0.609,1,1,0,0
1114,2003,arkansas-little-rock,False,False,False,0.614,0,0,0,0
1115,2003,arkansas-pine-bluff,False,False,False,0.143,0,0,0,0
1117,2003,arkansas-state,False,False,False,0.509,1,0,0,0
1119,2003,army,False,False,False,0.564,4,0,0,0
1120,2003,auburn,False,False,False,0.617,8,3,0,0
1122,2003,austin-peay,False,False,False,0.522,2,0,0,0
1123,2003,ball-state,False,False,False,0.568,0,0,0,0
1124,2003,baylor,False,False,False,0.616,11,1,0,0
1125,2003,belmont,False,False,False,0.425,0,0,0,0
1126,2003,bethune-cookman,False,False,False,0.341,0,0,0,0
1127,2003,binghamton,False,False,False,0.376,0,0,0,0
1128,2003,birmingham-southern,False,False,False,0.679,0,0,0,0
1129,2003,boise-state,False,False,False,0.448,0,0,0,0
1130,2003,boston-college,False,False,False,0.528,4,0,0,0
1131,2003,boston-university,False,False,False,0.558,2,0,0,0
1132,2003,bowling-green-state,False,False,False,0.583,0,0,0,0
1133,2003,bradley,False,False,False,0.4,0,0,0,0
1140,2003,brigham-young,False,False,False,0.581,2,0,0,0
1135,2003,brown,False,False,False,0.518,0,0,0,0
1137,2003,bucknell,False,False,False,0.527,0,0,0,0
1138,2003,buffalo,False,False,False,0.22,0,0,0,0
1139,2003,butler,False,False,False,0.815,1,1,0,0
1142,2003,cal-poly,False,False,False,0.479,0,0,0,0
1168,2003,cal-state-fullerton,False,False,False,0.238,0,0,0,0
1169,2003,cal-state-northridge,False,False,False,0.541,1,0,0,0
1143,2003,california,False,False,False,0.604,7,2,0,0
1414,2003,california-irvine,False,False,False,0.552,0,0,0,0
1415,2003,california-riverside,False,False,False,0.28,0,0,0,0
1364,2003,california-santa-barbara,False,False,False,0.544,1,0,0,0
1144,2003,campbell,False,False,False,0.43,1,0,0,0
1145,2003,canisius,False,False,False,0.451,0,0,0,0
1147,2003,centenary-la,False,False,False,0.418,0,0,0,0
1148,2003,central-connecticut-state,False,False,False,0.549,2,0,0,0
1416,2003,central-florida,False,False,False,0.497,2,0,0,0
1141,2003,central-michigan,False,False,False,0.444,1,0,0,0
1149,2003,charleston-southern,False,False,False,0.453,0,0,0,0
1150,2003,charlotte,False,False,False,0.585,3,0,0,0
1151,2003,chattanooga,False,False,False,0.649,0,0,0,0
1152,2003,chicago-state,False,False,False,0.178,0,0,0,0
1152,2003,chicago-state,False,False,False,0.0,0,0,0,0
1153,2003,cincinnati,False,False,True,0.737,13,4,1,0
1154,2003,citadel,False,False,False,0.426,0,0,0,0
1155,2003,clemson,False,False,False,0.489,0,0,0,0
1156,2003,cleveland-state,False,False,False,0.562,11,5,1,1
1157,2003,coastal-carolina,False,False,False,0.331,0,0,0,0
1159,2003,colgate,False,False,False,0.504,0,0,0,0
1158,2003,college-of-charleston,False,False,False,0.758,0,0,0,0
1160,2003,colorado,False,False,False,0.548,2,0,0,0
1161,2003,colorado-state,False,False,False,0.505,1,0,0,0
1162,2003,columbia,False,False,False,0.338,0,0,0,0
1163,2003,connecticut,False,True,False,0.686,16,9,1,1
1164,2003,coppin-state,False,False,False,0.572,3,0,0,0
1165,2003,cornell,False,False,False,0.259,0,0,0,0
1166,2003,creighton,False,False,False,0.607,6,0,0,0
1171,2003,dartmouth,False,False,False,0.421,0,0,0,0
1172,2003,davidson,False,False,False,0.551,2,0,0,0
1173,2003,dayton,False,False,False,0.573,3,0,0,0
1174,2003,delaware,False,False,False,0.551,0,0,0,0
1175,2003,delaware-state,False,False,False,0.524,0,0,0,0
1176,2003,denver,False,False,False,0.417,0,0,0,0
1177,2003,depaul,False,False,False,0.442,0,0,0,0
1178,2003,detroit-mercy,False,False,False,0.632,2,0,0,0
1179,2003,drake,False,False,False,0.313,0,0,0,0
1180,2003,drexel,False,False,False,0.548,2,0,0,0
1181,2003,duke,False,True,False,0.739,19,14,9,3
1182,2003,duquesne,False,False,False,0.548,7,0,0,0
1187,2003,east-carolina,False,False,False,0.613,3,0,0,0
1190,2003,east-tennessee-state,False,False,False,0.53,1,0,0,0
1183,2003,eastern-illinois,False,False,False,0.509,2,0,0,0
1184,2003,eastern-kentucky,False,False,False,0.309,0,0,0,0
1185,2003,eastern-michigan,False,False,False,0.345,0,0,0,0
1186,2003,eastern-washington,False,False,False,0.584,0,0,0,0
1189,2003,elon,False,False,False,0.416,0,0,0,0
1191,2003,evansville,False,False,False,0.583,2,0,0,0
1193,2003,fairfield,False,False,False,0.479,0,0,0,0
1192,2003,fairleigh-dickinson,False,False,False,0.557,3,0,0,0
1196,2003,florida,False,True,False,0.664,5,2,1,0
1197,2003,florida-am,False,False,False,0.456,0,0,0,0
1194,2003,florida-atlantic,False,False,False,0.292,1,0,0,0
1198,2003,florida-international,False,False,False,0.295,0,0,0,0
1199,2003,florida-state,False,False,False,0.487,3,1,0,0
1200,2003,fordham,False,False,False,0.316,0,0,0,0
1201,2003,fresno-state,False,False,False,0.714,0,0,0,0
1202,2003,furman,False,False,False,0.429,0,0,0,0
1205,2003,gardner-webb,False,False,False,0.172,0,0,0,0
1206,2003,george-mason,False,False,False,0.551,2,0,0,0
1203,2003,george-washington,False,False,False,0.421,0,0,0,0
1207,2003,georgetown,False,False,False,0.604,1,1,0,0
1208,2003,georgia,False,False,True,0.667,16,4,1,1
1204,2003,georgia-southern,False,False,False,0.548,0,0,0,0
1209,2003,georgia-state,False,False,False,0.526,0,0,0,0
1209,2003,georgia-state,False,False,False,0.666,13,8,0,0
1210,2003,georgia-tech,False,False,False,0.616,2,0,0,0
1211,2003,gonzaga,False,False,True,0.784,4,2,0,0
1212,2003,grambling,False,False,False,0.261,0,0,0,0
1453,2003,green-bay,False,False,False,0.333,0,0,0,0
1214,2003,hampton,False,False,False,0.633,0,0,0,0
1216,2003,hartford,False,False,False,0.382,0,0,0,0
1217,2003,harvard,False,False,False,0.436,0,0,0,0
1218,2003,hawaii,False,False,False,0.533,3,0,0,0
1219,2003,high-point,False,False,False,0.327,0,0,0,0
1220,2003,hofstra,False,False,False,0.328,0,0,0,0
1221,2003,holy-cross,False,False,False,0.564,5,1,0,0
1222,2003,houston,False,False,False,0.551,2,0,0,0
1224,2003,howard,False,False,False,0.46,2,0,0,0
1225,2003,idaho,False,False,False,0.393,0,0,0,0
1226,2003,idaho-state,False,False,False,0.387,0,0,0,0
1228,2003,illinois,False,False,False,0.663,5,3,0,0
1227,2003,illinois-chicago,False,False,False,0.514,2,0,0,0
1229,2003,illinois-state,False,False,False,0.467,0,0,0,0
1231,2003,indiana,False,False,True,0.638,3,1,1,0
1232,2003,indiana-state,False,False,False,0.492,2,0,0,0
1233,2003,iona,False,False,False,0.575,2,0,0,0
1234,2003,iowa,False,False,False,0.588,2,1,0,0
1235,2003,iowa-state,False,False,False,0.642,3,1,0,0
1236,2003,ipfw,False,False,False,0.3,0,0,0,0
1237,2003,iupui,False,False,False,0.432,1,0,0,0
1238,2003,jackson-state,False,False,False,0.486,2,0,0,0
1239,2003,jacksonville,False,False,False,0.601,8,2,2,0
1240,2003,jacksonville-state,False,False,False,0.483,0,0,0,0
1241,2003,james-madison,False,False,False,0.458,0,0,0,0
1242,2003,kansas,True,False,False,0.805,14,9,4,0
1243,2003,kansas-state,False,False,False,0.474,1,0,0,0
1245,2003,kent-state,False,False,False,0.677,0,0,0,0
1246,2003,kentucky,False,False,True,0.725,10,8,1,1
1247,2003,la-salle,False,False,False,0.466,0,0,0,0
1248,2003,lafayette,False,False,False,0.535,2,0,0,0
1249,2003,lamar,False,False,False,0.621,4,0,0,0
1250,2003,lehigh,False,False,False,0.571,0,0,0,0
1251,2003,liberty,False,False,False,0.439,0,0,0,0
1252,2003,lipscomb,False,False,False,0.286,0,0,0,0
1253,2003,long-beach-state,False,False,False,0.185,0,0,0,0
1254,2003,long-island-university,False,False,False,0.321,0,0,0,0
1418,2003,louisiana-lafayette,False,False,False,0.609,1,0,0,0
1419,2003,louisiana-monroe,False,False,False,0.59,7,0,0,0
1261,2003,louisiana-state,False,False,False,0.547,2,1,0,0
1256,2003,louisiana-tech,False,False,False,0.628,0,0,0,0
1257,2003,louisville,False,False,False,0.729,9,6,4,1
1260,2003,loyola-il,False,False,False,0.497,1,0,0,0
1258,2003,loyola-marymount,False,False,False,0.362,0,0,0,0
1259,2003,loyola-md,False,False,False,0.23,0,0,0,0
